title,category,price,no_of_ratings_given,product_offer,price_segment,discount_segment
Pharmeasy Coenzyme Q10 (Coq10) 200mg With Piperine - For Heart Health Bottle Of 60 Capsules,must haves,770.65,0,53,Mid-Range,High Discount
Pharmeasy Diabetic Protein Powder French Vanilla Flavour Jar Of 400g,must haves,382.27,60,57,Mid-Range,High Discount
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1 L,must haves,160.85,2174,57,Budget,High Discount
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,must haves,230.42,1429,59,Budget,High Discount
Pharmeasy Pill Box Organizer,must haves,234.53,905,53,Budget,High Discount
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,must haves,279.9,300,55,Budget,High Discount
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,must haves,168.3,625,55,Budget,High Discount
Everherb (By Pharmeasy) Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,must haves,149.62,781,60,Budget,High Discount
Everherb (By Pharmeasy) Amla Juice-Rich In Vitamin C-Natural Immunity Booster - 1 Litre Bottle,must haves,138.38,662,63,Budget,High Discount
Everherb (By Pharmeasy) Pain Relief Oil - Blend Of 8 Powerful Herbal Ingredients - 100 Ml,must haves,145.86,741,61,Budget,High Discount
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60,must haves,234.52,376,56,Budget,High Discount
Liveasy Wellness Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60 Tabs,must haves,234.52,572,56,Budget,High Discount
Pharmeasy Fish Oil 1000mg Soft Gelatin 60 Capsules,must haves,236.77,63,59,Budget,High Discount
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,must haves,292.13,303,61,Budget,High Discount
Liveasy Wellness Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,must haves,292.34,478,53,Budget,High Discount
Everherb Giloy Tulsi Juice - Strengthens Body Defence System - Natural Immunity Booster - 1 Litre,must haves,142.12,435,62,Budget,High Discount
Everherb (By Pharmeasy) Shilajit 500mg-Vigour Improvement-Strength & Stamina For Men-Bottle Of 60,must haves,374.8,399,60,Mid-Range,High Discount
Liveasy Foods Healthy Seed Mix - Blend Of 6 Fibre Rich Healthy Seeds - 200 Gms,must haves,143.88,554,56,Budget,High Discount
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief-Bottle Of 60,must haves,219.01,437,61,Budget,High Discount
Pharmeasy Biotin 10000mcg - For Hair | Skin & Nails - Bottle Of 60,must haves,281.65,107,57,Budget,High Discount
Cetaphil Dam Daily Advance Ultra Hydrating Lotion | Face & Body | 100 Gm,winter store,636.09,119,9,Mid-Range,Low Discount
Venusia Max Intensive Moisturizing | For All Skin Types | Lotion | 500 Gm,winter store,1172.13,355,11,Premium,High Discount
Supradyn Daily Multivitamin For Men & Women Builds Energy & Immunity Strip Of 15 Tablets,winter store,56.08,1300,18,Budget,High Discount
Dabur Yograj Guggulu 120 Tablets,winter store,158.34,5,13,Budget,High Discount
Himalaya Ashwagandha Immunity Booster Tablets Bottle Of 60,winter store,182.4,216,24,Budget,High Discount
Nivea Soft Light Moisturizer Of 300 Ml,winter store,514.8,92,22,Mid-Range,High Discount
Vaseline Intensive Care Deep Moisture Body Lotion - 600 Ml,winter store,494.34,10,34,Mid-Range,High Discount
Cofsils Orange Strip Of 10 Lozenges,winter store,31.0,526,13,Budget,High Discount
Vicks Keychain Inhaler 0.5 Ml Pack Of 1,winter store,55.68,315,13,Budget,High Discount
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1 L,winter store,160.85,2174,57,Budget,High Discount
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,winter store,230.42,1429,59,Budget,High Discount
New Saridon Strip Of 10 Tablets,winter store,44.86,71,13,Budget,High Discount
Crocin Pain Relief Strip Of 15 Tablets,winter store,65.61,85,20,Budget,High Discount
Cofsils Ginger Lemon Lozenges Strip Of 10,winter store,30.99,473,13,Budget,High Discount
Scalpe Plus Expert Anti-Dandruff Shampoo With Ketoconazole | 75ml,winter store,251.51,967,24,Budget,High Discount
Volini Pain Relief | Gel | 75 Gm,winter store,214.88,975,21,Budget,High Discount
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,winter store,279.9,300,55,Budget,High Discount
Everherb (By Pharmeasy) Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,winter store,149.62,781,60,Budget,High Discount
Supradyn Daily Multivitamin For Men & Women Builds Energy & Immunity Bottle Of 60 Tablets,winter store,218.94,81,18,Budget,High Discount
Everherb (By Pharmeasy) Amla Juice-Rich In Vitamin C-Natural Immunity Booster - 1 Litre Bottle,winter store,138.38,662,63,Budget,High Discount
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,vitamin store,279.9,300,55,Budget,High Discount
Shelcal 500mg Strip Of 15 Tablets,vitamin store,118.92,1245,20,Budget,High Discount
Pharmeasy Multivitamin Women - Overall Women Wellness - Builds Immunity - Bottle Of 60,vitamin store,270.18,54,62,Budget,High Discount
Supradyn Daily Multivitamin For Men & Women Builds Energy & Immunity Strip Of 15 Tablets,vitamin store,56.08,1300,18,Budget,High Discount
Zincovit Strip Of 15 Tablets (Green),vitamin store,87.21,451,19,Budget,High Discount
Evion 400mg Strip Of 20 Capsules,vitamin store,72.54,602,19,Budget,High Discount
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1 L,vitamin store,160.85,2174,57,Budget,High Discount
Calcimax Forte Plus Strip Of 30 Tablets,vitamin store,213.89,772,27,Budget,High Discount
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,vitamin store,230.42,1429,59,Budget,High Discount
Calcimax 500mg Strip Of 30 Tablets,vitamin store,246.35,611,35,Budget,High Discount
Evion 600mg Strip Of 10 Capsules,vitamin store,53.07,363,18,Budget,High Discount
Depura Vitamin D3 60k Sugar Free Oral Solution 5ml,vitamin store,94.5,928,19,Budget,High Discount
Arachitol Nano 60k Sugar Free Bottle Of 5ml Solution,vitamin store,87.58,312,19,Budget,High Discount
Calcimax P Suspension 200ml,vitamin store,140.0,48,20,Budget,High Discount
Livogen Z Strip Of 15 Captabs,vitamin store,77.24,212,22,Budget,High Discount
Becozym C Forte B Complex With Vitamin C And Biotin Strip Of 20 Tablets,vitamin store,36.9,48,18,Budget,High Discount
Shelcal 250mg Strip Of 30 Tablets,vitamin store,120.49,37,19,Budget,High Discount
Evion 200mg Strip Of 10 Capsules,vitamin store,20.72,36,13,Budget,High Discount
Supradyn Daily Multivitamin For Men & Women Builds Energy & Immunity Bottle Of 60 Tablets,vitamin store,218.94,81,18,Budget,High Discount
Seven Seas Original Capsule 100`S,vitamin store,306.58,188,23,Mid-Range,High Discount
Everherb (By Pharmeasy) Shilajit 500mg-Vigour Improvement-Strength & Stamina For Men-Bottle Of 60,sexual wellness,374.8,399,60,Mid-Range,High Discount
Prega News At Home One Step Urine Hcg Pregnancy Test Kit (10 Tests),sexual wellness,336.0,0,40,Mid-Range,High Discount
Everherb (By Pharmeasy) Men'S Formula-Blend Of Powerful Herb-Increase Sperm Count-Bottle Of 60,sexual wellness,346.69,230,61,Mid-Range,High Discount
Manforce Cocktail Condoms Combo (Strawberry+Vanilla & Chocolate+Hazelnut) Pack Of 4 (40 Condoms),sexual wellness,289.08,0,27,Budget,High Discount
Ved Tattva Safed Musli Powder - 1 Kg (Pack Of 2),sexual wellness,11269.44,0,37,Premium,High Discount
Prega News At Home One Step Urine Hcg Digital Pregnancy Test Kit (6 Tests),sexual wellness,238.56,0,29,Budget,High Discount
Manforce Cocktail Condoms (Dotted-Rings) Hazelnut & Chocolate Flavoured 10 Pcs X Pack Of 4,sexual wellness,289.08,0,27,Budget,High Discount
Manforce Epic Strawberry Flavored Lube 60 Ml X Pack Of 4,sexual wellness,1056.0,0,34,Premium,High Discount
Manforce Cocktail Strawberry+Vanilla & 3 In 1 Overtime Orange Flavoured Condoms(Set Of 2 20 Pcs),sexual wellness,215.26,0,6,Budget,Low Discount
