title,category,price,no_of_ratings_given,product_offer
Pharmeasy Coenzyme Q10 (Coq10) 200mg With Piperine - For Heart Health Bottle Of 60 Capsules,Healthcare,₹770.65,,53% OFF
Pharmeasy Diabetic Protein Powder French Vanilla Flavour Jar Of 400g,Healthcare,₹382.27,(60ratings),57% OFF
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1 L,Healthcare,₹160.85,(2174ratings),57% OFF
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,Healthcare,₹230.42,(1429ratings),59% OFF
Pharmeasy Pill Box Organizer,Healthcare,₹234.53,(905ratings),53% OFF
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,Healthcare,₹279.9,(300ratings),55% OFF
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,Healthcare,₹168.3,(625ratings),55% OFF
Everherb (By Pharmeasy) Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,Healthcare,₹149.62,(781ratings),60% OFF
Everherb (By Pharmeasy) Amla Juice-Rich In Vitamin C-Natural Immunity Booster - 1 Litre Bottle,Healthcare,₹138.38,(662ratings),63% OFF
Everherb (By Pharmeasy) Pain Relief Oil - Blend Of 8 Powerful Herbal Ingredients - 100 Ml,Healthcare,₹145.86,(741ratings),61% OFF
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60,Healthcare,₹234.52,(376ratings),56% OFF
Liveasy Wellness Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60 Tabs,Healthcare,₹234.52,(572ratings),56% OFF
Pharmeasy Fish Oil 1000mg Soft Gelatin 60 Capsules,Healthcare,₹236.77,(63ratings),59% OFF
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,Healthcare,₹292.13,(303ratings),61% OFF
Liveasy Wellness Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,Healthcare,₹292.34,(478ratings),53% OFF
Everherb Giloy Tulsi Juice - Strengthens Body Defence System - Natural Immunity Booster - 1 Litre,Healthcare,₹142.12,(435ratings),62% OFF
